Date,DHT11#1 Humidity,DHT11#1 Temperature,DHT11#2 Humidity,DHT11#2 Temperature,DHT22#3 Humidity,DHT22#3 Temperature
2016-08-23T22:58:35.449-0600,21,20,18,20,47.2,23.4
2016-08-23T22:58:41.250-0600,21,20,18,20,47.2,23.4
2016-08-23T22:58:47.051-0600,21,20,18,20,47.2,23.4
2016-08-23T22:58:52.852-0600,21,20,18,20,47.3,23.4
2016-08-23T22:58:58.653-0600,21,20,18,20,47.2,23.4
2016-08-23T22:59:04.472-0600,21,20,18,20,47.2,23.4
2016-08-23T22:59:10.278-0600,21,20,18,20,47.3,23.4
2016-08-23T22:59:16.905-0600,21,20,ERROR,ERROR,47.2,23.4
2016-08-23T22:59:22.706-0600,21,20,18,20,47.2,23.4
2016-08-23T22:59:28.507-0600,21,20,18,20,47.2,23.4
2016-08-23T22:59:34.308-0600,21,20,18,20,47.3,23.4
2016-08-23T22:59:40.109-0600,21,20,18,20,47.2,23.4
2016-08-23T22:59:45.911-0600,21,20,18,20,47.2,23.4
2016-08-23T22:59:51.712-0600,21,20,18,20,47.2,23.3
2016-08-23T22:59:57.517-0600,21,20,18,20,47.3,23.4
2016-08-23T23:00:03.323-0600,21,20,18,20,46.4,23.4
2016-08-23T23:00:09.129-0600,21,20,18,20,47.2,23.4
2016-08-23T23:00:14.930-0600,21,20,18,20,47.2,23.4
2016-08-23T23:00:20.731-0600,21,20,18,20,47.1,23.3
2016-08-23T23:00:26.532-0600,21,20,18,20,47.1,23.4
2016-08-23T23:00:32.333-0600,21,20,18,20,47.1,23.3
2016-08-23T23:00:38.134-0600,21,20,18,20,47.1,23.4
2016-08-23T23:00:43.935-0600,21,20,18,20,47.2,23.4
2016-08-23T23:00:50.562-0600,21,20,ERROR,ERROR,47.2,23.4
2016-08-23T23:00:56.368-0600,21,20,18,20,47.2,23.4
2016-08-23T23:01:02.173-0600,21,20,18,20,47.2,23.4
2016-08-23T23:01:07.974-0600,21,20,18,20,47.2,23.4
2016-08-23T23:01:13.775-0600,21,20,18,20,47.2,23.4
2016-08-23T23:01:19.577-0600,21,20,18,20,47.2,23.3
2016-08-23T23:01:25.378-0600,21,20,18,20,47.1,23.4
2016-08-23T23:01:31.179-0600,21,20,18,20,47.1,23.4
2016-08-23T23:01:36.980-0600,21,20,18,20,47,23.3
2016-08-23T23:01:42.781-0600,21,20,18,20,47.3,23.4
2016-08-23T23:01:48.596-0600,21,20,18,20,47.2,23.3
2016-08-23T23:01:54.401-0600,21,20,18,20,47.2,23.4
2016-08-23T23:02:00.202-0600,21,20,18,20,47.2,23.3
2016-08-23T23:02:06.003-0600,21,20,18,20,47.2,23.4
2016-08-23T23:02:11.805-0600,21,20,18,20,47.2,23.4
2016-08-23T23:02:17.606-0600,21,20,18,20,47.3,23.4
2016-08-23T23:02:23.407-0600,21,20,18,20,47.2,23.4
2016-08-23T23:02:29.208-0600,21,20,18,20,47.2,23.4
2016-08-23T23:02:35.009-0600,21,20,18,20,47.2,23.3
2016-08-23T23:02:40.810-0600,21,20,18,20,47.2,23.4
2016-08-23T23:02:46.616-0600,21,20,18,20,46.3,23.4
2016-08-23T23:02:52.421-0600,21,20,18,20,47,23.3
